"","year","crop","ppa","yield","fertilizer"
"1",1964,"Corn",58,62.9,"nitrogen"
"2",1965,"Corn",75,74.1,"nitrogen"
"3",1966,"Corn",86,73.1,"nitrogen"
"4",1967,"Corn",93,80.1,"nitrogen"
"5",1968,"Corn",104,79.5,"nitrogen"
"6",1969,"Corn",110,85.9,"nitrogen"
"7",1970,"Corn",112,72.4,"nitrogen"
"8",1971,"Corn",107,88.1,"nitrogen"
"9",1972,"Corn",115,97,"nitrogen"
"10",1973,"Corn",114,91.3,"nitrogen"
"11",1974,"Corn",103,71.9,"nitrogen"
"12",1975,"Corn",105,86.4,"nitrogen"
"13",1976,"Corn",127,88,"nitrogen"
"14",1977,"Corn",128,90.8,"nitrogen"
"15",1978,"Corn",126,101,"nitrogen"
"16",1979,"Corn",135,109.5,"nitrogen"
"17",1980,"Corn",130,91,"nitrogen"
"18",1981,"Corn",137,108.9,"nitrogen"
"19",1982,"Corn",135,113.2,"nitrogen"
"20",1983,"Corn",137,81.1,"nitrogen"
"21",1984,"Corn",138,106.7,"nitrogen"
"22",1985,"Corn",140,118,"nitrogen"
"23",1986,"Corn",132,119.4,"nitrogen"
"24",1987,"Corn",132,119.8,"nitrogen"
"25",1988,"Corn",137,84.6,"nitrogen"
"26",1989,"Corn",131,116.3,"nitrogen"
"27",1990,"Corn",132,118.5,"nitrogen"
"28",1991,"Corn",128,108.6,"nitrogen"
"29",1992,"Corn",127,131.5,"nitrogen"
"30",1993,"Corn",123,100.7,"nitrogen"
"31",1994,"Corn",129,138.6,"nitrogen"
"32",1995,"Corn",130,113.5,"nitrogen"
"33",1996,"Corn",133,127.1,"nitrogen"
"34",1997,"Corn",130,126.7,"nitrogen"
"35",1998,"Corn",133,134.4,"nitrogen"
"36",1999,"Corn",133,133.8,"nitrogen"
"37",2000,"Corn",136,136.9,"nitrogen"
"38",2001,"Corn",127,138.2,"nitrogen"
"39",2002,"Corn",137,129.3,"nitrogen"
"40",2003,"Corn",136,142.2,"nitrogen"
"41",2004,"Corn",NA,160.3,"nitrogen"
"42",2005,"Corn",138,147.9,"nitrogen"
"43",2006,"Corn",NA,149.1,"nitrogen"
"44",2007,"Corn",NA,150.7,"nitrogen"
"45",2008,"Corn",NA,153.3,"nitrogen"
"46",2009,"Corn",NA,164.4,"nitrogen"
"47",2010,"Corn",140,152.6,"nitrogen"
"48",2011,"Corn",NA,146.8,"nitrogen"
"49",2012,"Corn",NA,123.1,"nitrogen"
"50",2013,"Corn",NA,158.1,"nitrogen"
"51",2014,"Corn",144,171,"nitrogen"
"52",2015,"Corn",NA,168.4,"nitrogen"
"53",2016,"Corn",145,174.6,"nitrogen"
