objectid,hawaiistgrdsownerlulcarea,perimeter,landcover,featureuid,createdate,createdby,modifieddate,modifiedby,agency,deliverydate,sourceid,severity,publishdate,comments,st_areashape,st_perimetershape
1,28186234.348,59325.06,Cropland and Pasture,{29030208-C377-4F73-93FA-490391EA641B},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,28187210.8653457,59326.1194249614
2,3720888.858,9160.034,Commercial and Services,{F6519B24-88DC-47E0-A8B5-B8DFCCDCE500},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,3721009.31925537,9160.18595425299
3,550456.765,5049.968,Residential,{848FC3C9-981E-426B-A343-625F374E532B},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,550478.999570653,5050.0789599345
4,7860744.039,19017.356,Cropland and Pasture,{529907C7-FDAD-4BC1-9DA1-75BD5DFFA591},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,7861008.56724169,19017.6541833429
5,679415631.832,449358.143,Evergreen Forest Land,{CF944E28-CAD5-485F-9708-DFE76A6AB902},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,679438406.906481,449365.324225876
6,275306.922,2372.393,Other Urban or Built-up Land,{A7FACABE-68C2-43F4-BF59-2D3FF55309E2},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,275315.947233784,2372.42861822627
7,385064.711,3888.053,Mixed Rangeland,{5067F6F2-AF57-472F-81F0-B51E92D08B53},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,385077.595489757,3888.11491730471
8,742836.993,4310.559,Evergreen Forest Land,{434284BB-42FC-4381-92B9-1D36BA84D4B1},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,742861.366076011,4310.62125682274
9,450584.048,3703.143,Cropland and Pasture,{41F5E5B6-884C-4510-8C61-29D0FF9B4D48},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,450602.13145227,3703.21952132376
13,106574.723,1290.024,Residential,{A1ECC739-3DC9-4579-98A2-AC8F0DD7134C},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,106578.276306767,1290.04761003255
14,241962.478,1948.279,Residential,{35E9CFB3-63A7-4FE2-9B2C-C2200A31B428},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,241972.163622569,1948.31997601815
15,2047229.123,8452.558,Cropland and Pasture,{3C2A305B-888C-4193-A812-8E1C64B89522},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,2047297.03479876,8452.69354040443
