objectid,wuname,wuc,hucarea,huc,swma,area_sqmi,st_areashape,st_perimetershape
1,Kealahewa,8001,13033771.0175,8001,0,5.03200006,13034095.1382372,20155.7407132543
9,Pali Akamoa,8008,3479292.25724,8008,0,1.34300005,3479405.3364325,13197.2354006711
2,Hualua,8002,14176073.1159,8002,0,5.47300005,14176431.263506,21996.7334873256
61,Ouhi,8057,1158445.79094,8057,0,0.447,1158423.56500082,5637.85605866217
62,Kahaupu,8058,28908547.3343,8058,0,1.11600006,28908109.3286843,44426.100528319
63,Waikoloa,8161,133225647.861,8161,0,5.14300013,133226500.208805,109890.821637686
64,Kahawailiili,8059,39901515.4587,8059,0,1.53999996,39900974.9051707,54950.3174411938
3,Kumakua,8003,8922132.97239,8003,0,3.44499993,8922404.51645211,20108.8156804393
4,Kapua,8004,1657825.28202,8004,0,0.63999999,1657873.17990313,12105.2882299111
5,Ohanaula,8005,3225954.91627,8005,0,1.24600005,3226049.45038375,9286.07934257859
6,Mahukona,8166,32338352.5739,8166,0,1.24800003,32339392.5586303,29095.5766401422
7,Hanaula,8006,9103773.47958,8006,0,3.5150001,9104066.69938494,26425.1456182854
8,Hapahapai,8007,8528264.19084,8007,0,3.29299998,8528539.20425176,21908.370881102
10,Halelua,8010,5849346.48167,8010,0,2.2579999,5849536.26804314,16714.771019408
11,Wainaia,8009,11022525.3156,8009,0,4.25600004,11022879.8062279,25669.4807667066
12,Halawa,8011,4489947.46144,8011,0,1.73399997,4490092.40840764,19656.0591974214
19,Honokane Iki,8017,6706821.60967,8017,0,2.58999991,6706865.3705442,18342.1349066457
13,Aamakao,8012,27072037.0587,8012,0,1.04499996,27072901.1985845,34175.4827270184
14,Niulii,8013,8394703.66314,8013,0,3.24099994,8394937.6373374,21018.2371782526
15,Waikama,8014,8684630.38074,8014,0,3.35299993,8684810.46800592,24787.5011970224
20,Kalele,8018,448654.991474,8018,0,0.17299999,448657.271847692,3537.54680711615
16,Pololu,8015,16190261.7297,8015,0,6.25099993,16190473.5256226,26690.7195478366
17,Honokane Nui,8016,26958252.4103,8016,0,1.03999996,26958500.6952098,38842.0568460262
18,Lapakahi,8165,16079744.5238,8165,0,6.20800018,16080256.5230061,26864.1012958192
41,Naluea,8038,2244659.46898,8038,0,0.86699998,2244650.12130022,7789.06234568297
21,Waipahi,8019,2570486.47031,8019,0,0.99199998,2570499.92079015,11548.9550078099
22,Honokea,8020,6101316.69335,8020,0,2.35599995,6101347.12999591,17597.9655510946
42,Kahoopuu,8039,2215670.20193,8039,0,0.85500002,2215659.45372679,9413.69324199018
23,Kailikaula,8021,2020470.37762,8021,0,0.77999997,2020478.73377257,12505.8614185348
24,Honopue,8022,6792606.86152,8022,0,2.62299991,6792635.59630755,18134.175342119
25,Kolealiilii,8023,2212971.4166,8023,0,0.85399997,2212976.67585215,10306.4879523794
26,Ohiahuea,8024,5022948.38611,8024,0,1.93900001,5022967.00995253,18013.5274129778
27,Keawanui,8164,112576074.498,8164,0,4.34600019,112579595.668872,52041.1942389712
43,Waipahoehoe,8040,3441081.40554,8040,0,1.329,3441063.3732739,11236.7038924463
28,Nakooko,8025,1958472.38765,8025,0,0.75599998,1958477.58396797,14683.5046779823
29,Waiapuka,8026,1880165.73235,8026,0,0.72600001,1880169.1474969,11422.3693374594
30,Waikaloa,8027,4163509.44763,8027,0,1.60800004,4163520.68789983,18700.3966190291
31,Waimaile,8028,1233901.86871,8028,0,0.47600001,1233902.54457519,8223.39594716753
198,Kalihikai Center,2023,604752.934989,2023,0,0.233,604772.886218743,4372.606365355
32,Kukui,8029,1708610.09834,8029,0,0.66000003,1708610.52948255,9786.43480194019
33,Paopao,8030,1395956.10641,8030,0,0.53899997,1395956.9781893,10876.7257935994
34,Waiaalala,8031,869110.99847,8031,0,0.336,869110.705746212,7590.520374144
35,Punalulu,8032,3194563.57695,8032,0,1.23300004,3194564.94944999,16022.8723696693
46,Waikoekoe,8044,4136908.51561,8044,0,1.597,4136866.03549362,13504.875648556
36,Kaimu,8033,4365676.18898,8033,0,1.68599999,4365678.38696689,18260.9697320898
37,Pae,8034,1678104.41254,8034,0,0.648,1678102.57551742,9227.91739194322
51,Kaluahine Falls,8042,575129.314641,8042,0,0.222,575124.284617631,4961.87997322774
38,Waimanu,8035,22545919.2501,8035,0,8.70499992,22545905.9960492,25470.5136941535
39,Pukoa,8036,541072.869609,8036,0,0.20900001,541070.68907749,4523.89496324036
40,Manuwaikaalio,8037,1286915.87602,8037,0,0.49700001,1286910.39743331,6485.96911417005
44,Wailoa/Waipio,8041,66261116.9688,8041,0,2.55800009,66260988.0897723,42639.5215342694
45,Waipunahoe,8045,42329750.1761,8045,0,1.63399994,42329450.5185452,46079.6659342135
47,Waialeale,8046,2024921.56959,8046,0,0.78200001,2024895.70550669,12646.9970288892
48,Waiulili,8043,74168868.4913,8043,0,2.86299992,74168598.2453909,90874.9990989215
49,Waikoloa,8047,43472930.0534,8047,0,1.67799997,43472644.5953214,61946.6830517154
50,Kapulena,8048,7888507.09387,8048,0,3.046,7888397.84679643,18403.692361629
52,Kawaikalia,8049,4720050.6168,8049,0,1.82200003,4719977.78351308,13609.1139375507
57,Keaakaukau,8053,2235172.29686,8053,0,0.86299998,2235129.11120252,12517.5913972203
53,Kawela,8052,3361288.47332,8052,0,1.29799998,3361225.71610001,11977.0752199142
55,Malanahae,8050,5739263.06748,8050,0,2.21600008,5739179.73351206,23295.6799537701
54,Honokaia,8051,41253687.9225,8051,0,1.59200001,41253249.6272685,49458.5190184045
56,Honokoa,8163,32333297.7956,8163,0,1.24800003,32334162.3510485,32827.2860713941
58,Kainapahoa,8054,23283012.6421,8054,0,8.98999977,23282631.1859842,31404.3541277869
59,Nienie,8055,12689651.5162,8055,0,4.9000001,12689396.4653702,24625.528124556
60,Papuaa,8056,12135061.0435,8056,0,4.68499994,12134821.8717723,19861.9888382421
65,Kawaihae,8162,56490230.7223,8162,0,2.18099999,56491572.5482348,37918.7986211901
66,Keahua,8060,4358012.13961,8060,0,1.68299997,4357927.72997252,14036.2598273012
67,Kalopa,8061,79345285.938,8061,0,3.06299996,79344381.6038201,66996.1725664277
68,Waikaalulu,8062,7843814.18945,8062,0,3.02900004,7843673.6503362,24928.1780838836
69,Kukuilamalamahii,8063,5857555.68412,8063,0,2.26200008,5857441.94414369,17818.475504417
