site,practice,grazing,Year ,GrainC1,LeafC1,StemC1,RootC1,GrainC2,LeafC2,StemC2,RootC2,GrainC3,LeafC3,StemC3,RootC3,%SOC_10cm,SOC 10-20cm,%SOC_30cm,%SOC_40cm,%SOC_50cm,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,IniSOC     ,End_SOC    ,dSOC       ,GWP,CO2_GWP,CH4_GWP,N2O_GWP,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2,Leach_C    ,Runoff_C   ,CH4,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3,Runoff_SON ,Leach_DON  ,N2O_flux,NO_flux    ,N2_flux,NH3_flux,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
sd,regen,none,1,0,786.13,786.13,373.41,0,110.87,110.87,3104.23,0,543.26,543.26,434.61,0.0138,0.0076,0.0022,0.0006,0.0002,15820.51,8692.97,2525.72,745.57,279.34,27021.44,28064.12,1042.68,-2687.712822,-3816.290677,0,1128.577855,680.34,384.62,314,488.38,824.62,0.04,0,0,2677.82,1.21,2697.6,3.12,21.69,0,0,20.93,24.65,59.05,65.39,0.12,0,0,2.71,0.01,4.02,2.98,2.17,1288.64,255.1,316.44,0,0,0,539.8,0.06,14.35,2,1.01,0.11,0.64,0,106.02,447.18,447.18,3629.49,1570.69
sd,regen,none,2,0,661.32,82.67,2314.63,0,127.51,892.6,714.08,0,191.04,125.54,136.46,0.0141,0.0075,0.0022,0.0006,0.0002,16186.5,8637.83,2511.81,740.37,281.03,28064.12,28357.54,293.42,-1061.446759,-1073.940241,0,12.49348178,1496.24,43.98,0,1279.68,2526.36,0.1,0,0,2697.6,3.12,2723.33,3.16,25.77,0,0,0,33.79,57.01,62.07,0.02,0,0,0.03,0,0.07,1.39,2.27,1288.8,146.43,261.6,0,0,0,539.8,0.06,14.35,2,1,0.13,0.6,0,249.61,1242.94,856.59,6609.54,1090.17
sd,regen,none,3,0,673.18,84.15,2356.14,0,135.24,946.7,757.36,0,202.4,133.01,144.57,0.0143,0.0075,0.0022,0.0006,0.0002,16442.33,8585.25,2500.19,738.28,282.59,28357.54,28548.64,191.1,-691.1120183,-699.4410062,0,8.328987855,1392.19,74.75,0,2044.19,3319.91,0.11,0,0,2723.33,3.16,2745.43,3.25,22.2,0,0,0,38.62,58.22,64.39,0.03,0,0,0.02,0,0.06,2.12,2.27,1288.36,155.38,273.93,0,0,0,539.8,0.06,14.35,2,1,0.13,0.6,0,397.69,2204.68,1165.12,9499.13,756.65
sd,regen,none,4,0,686.18,85.77,2401.64,0,130.84,915.91,732.73,0,306.54,201.44,218.96,0.0146,0.0074,0.0022,0.0006,0.0002,16754.94,8537.55,2489.29,736.4,283.57,28548.64,28801.76,253.12,-193.4881446,-926.4390763,0,732.9509317,1289.78,93.45,314,2795.08,4239.08,0.13,0,0,2745.43,3.25,2772.63,4.22,28.16,0,0,20.93,40.8,58.99,69.96,0.25,0,0,1.76,0.01,2.59,5.82,2.37,1287.91,156.03,274.05,0,0,0,539.8,0.06,14.35,2,1,0.13,0.6,0,540.99,3301.67,1512.37,12381.22,525.17
sd,regen,none,5,0,676.03,84.5,2366.09,0,128.59,900.16,720.12,0,237.81,156.28,169.86,0.0147,0.0074,0.0022,0.0006,0.0002,16868.13,8496.38,2478.78,734.98,284.16,28801.75,28862.43,60.68,-163.7906499,-222.0935649,0,58.302915,1196.97,102.96,0,3525.55,4764.68,0.13,0,0,2772.63,4.22,2787.44,4,14.6,0,0,0,41.29,58.09,65.49,0.05,0,0,0.14,0.01,0.22,4.35,2.31,1287.47,149.11,283.02,0,0,0,539.8,0.06,14.35,2,1,0.13,0.6,0,677.74,4314.78,1811.98,15099.83,364.5
sd,regen,none,6,0,682.32,85.29,2388.12,0,120.78,845.46,676.37,0,262.79,172.69,187.7,0.0147,0.0074,0.0021,0.0006,0.0002,16959.9,8459.05,2468.64,733.64,284.54,28862.43,28905.78,43.35,-100.3614891,-158.6644041,0,58.302915,1101.72,106.7,0,4229.89,5394.85,0.13,0,0,2787.44,4,2798.48,4.27,11.31,0,0,0,40.42,58.24,65.96,0.05,0,0,0.14,0.01,0.22,5.18,2.32,1287.02,144.34,287.5,0,0,0,539.8,0.06,14.35,2,1,0.13,0.6,0,810.89,5352.78,2111.53,17786.45,252.99
sd,regen,none,7,0,673.87,84.23,2358.53,0,114.31,800.15,640.12,0,277.37,182.27,198.12,0.0148,0.0073,0.0021,0.0006,0.0002,17027.67,8424.46,2459.5,732.02,284.83,28905.79,28928.49,22.71,0.169495242,-83.12038331,0,83.28987855,1013.01,106.14,0,4924.45,6020.79,0.13,0,0,2798.48,4.27,2806.14,4.49,7.88,0,0,0,38.8,57.3,65.3,0.05,0,0,0.2,0.01,0.31,5.88,2.32,1286.58,139.39,291.54,0,0,0,539.8,0.06,14.35,2,1,0.13,0.6,0,940.24,6397.75,2422.39,20421.66,175.59
sd,regen,none,8,0,682.15,85.27,2387.52,0,110.8,775.57,620.46,0,395.68,260.02,282.63,0.015,0.0073,0.0021,0.0006,0.0002,17220.33,8390.17,2450.44,730.15,285.06,28928.49,29076.15,147.66,279.9581092,-540.447195,0,820.4053042,952.15,103.86,314,5626.08,6848.31,0.15,0,0,2806.14,4.49,2820.15,5.12,14.65,0,0,20.93,37.47,57.77,71.1,0.28,0,0,1.97,0.02,2.9,8.81,2.37,1286.13,140.85,288.82,0,0,0,539.8,0.06,14.35,2,1,0.13,0.6,0,1070.22,7572.86,2821.54,23167.48,121.87
sd,regen,none,9,0,680.74,85.09,2382.61,0,109.22,764.54,611.63,0,304.25,199.93,217.32,0.015,0.0073,0.0021,0.0006,0.0002,17236.54,8359.39,2442.48,728.32,285.3,29076.15,29052.03,-24.13,242.4039701,88.31769482,0,154.0862753,916.61,101.54,0,6336.53,7378.67,0.14,0,0,2820.15,5.12,2823.47,4.84,3.03,0,0,0,36.64,57.57,66.24,0.07,0,0,0.37,0.01,0.56,7.02,2.32,1285.68,135.46,295.86,0,0,0,539.8,0.06,14.35,2,1,0.13,0.6,0,1192.58,8655.59,3165.9,25848.29,84.59
sd,regen,none,10,0,680.99,85.12,2383.46,0,105.58,739.07,591.26,0,315,207,225,0.015,0.0072,0.0021,0.0006,0.0002,17262.21,8329.9,2434.76,726.45,285.42,29052.03,29038.72,-13.3,194.4363319,48.67904439,0,145.7572875,881.87,99.27,0,7036.47,8030.78,0.15,0,0,2823.47,4.84,2825.27,4.94,1.89,0,0,0,35.71,57.42,66.22,0.07,0,0,0.35,0.01,0.52,7.29,2.32,1285.23,132.78,298.41,0,0,0,539.8,0.06,14.35,2,1,0.13,0.6,0,1313.88,9745.93,3510.55,28528.49,58.71
