Year ,Crop,Practice,Country,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,Ini_SOC,End_SOC    ,CO2e_stock,dSOC       ,CH4,N2O_flux,CO2e,CH4_CO2e,N2O_CO2e,GWP
3,Kernza,Regenerative,Scotland,37002.81,29648.6,21871.34,16189.47,16769.71,121638,121481.9,668150.45,-156.05,-0.48,0.01,572.1833333,-17.92,4.164285714,558.427619
4,Kernza,Regenerative,Scotland,37038.23,29577.1,21822.05,16159.1,16748.29,121481.9,121344.8,667396.4,-137.16,-0.47,0.01,502.92,-17.54666667,4.164285714,489.537619
5,Kernza,Regenerative,Scotland,37081.59,29506.71,21774.44,16129.11,16726.26,121344.8,121218.1,666699.55,-126.68,-0.46,0.01,464.4933333,-17.17333333,4.164285714,451.4842857
6,Kernza,Regenerative,Scotland,37128.95,29437.8,21728.63,16099.82,16704.33,121218.1,121099.5,666047.25,-118.6,-0.46,0.01,434.8666667,-17.17333333,4.164285714,421.857619
7,Kernza,Regenerative,Scotland,37191.45,29376.51,21695.98,16082.18,16691.07,121099.5,121037.2,665704.6,-62.32,-0.47,0.01,228.5066667,-17.54666667,4.164285714,215.1242857
8,Kernza,Regenerative,Scotland,37247.03,29313.59,21659.11,16058.35,16671.79,121037.2,120949.9,665224.45,-87.31,-0.47,0.02,320.1366667,-17.54666667,8.328571429,310.9185714
9,Kernza,Regenerative,Scotland,37301.06,29252.14,21622.84,16034.7,16652.47,120949.9,120863.2,664747.6,-86.66,-0.47,0.02,317.7533333,-17.54666667,8.328571429,308.5352381
10,Kernza,Regenerative,Scotland,37353.25,29191.05,21586.78,16011.32,16633.27,120863.2,120775.7,664266.35,-87.52,-0.46,0.02,320.9066667,-17.17333333,8.328571429,312.0619048
11,Kernza,Regenerative,Scotland,37405.34,29132.25,21551.55,15988.2,16614.1,120775.7,120691.4,663802.7,-84.23,-0.46,0.02,308.8433333,-17.17333333,8.328571429,299.9985714
12,Kernza,Regenerative,Scotland,37455.09,29073.76,21516.73,15965.4,16595.43,120691.5,120606.4,663335.2,-85.03,-0.45,0.02,311.7766667,-16.8,8.328571429,303.3052381
13,Kernza,Regenerative,Scotland,37543.64,29033.22,21494.51,15950.76,16582.54,120606.4,120604.7,663325.85,-1.75,-0.59,0.02,6.416666667,-22.02666667,8.328571429,-7.281428571
14,Kernza,Regenerative,Scotland,37619.38,28986.56,21466.99,15931.91,16565.42,120604.7,120570.3,663136.65,-34.39,-0.59,0.02,126.0966667,-22.02666667,8.328571429,112.3985714
15,Kernza,Regenerative,Scotland,37691.31,28940.74,21439.56,15913.35,16548.55,120570.2,120533.5,662934.25,-36.74,-0.58,0.02,134.7133333,-21.65333333,8.328571429,121.3885714
16,Kernza,Regenerative,Scotland,37760.64,28895.79,21412.97,15895.13,16531.96,120533.5,120496.5,662730.75,-37,-0.58,0.02,135.6666667,-21.65333333,8.328571429,122.3419048
17,Kernza,Regenerative,Scotland,37827.81,28851.66,21386.16,15877.11,16515.53,120496.5,120458.3,662520.65,-38.21,-0.57,0.02,140.1033333,-21.28,8.328571429,127.1519048
18,Kernza,Regenerative,Scotland,37893.09,28808.25,21359.93,15859.35,16499.35,120458.3,120420,662310,-38.3,-0.57,0.02,140.4333333,-21.28,8.328571429,127.4819048
19,Kernza,Regenerative,Scotland,37958.06,28765.92,21334.14,15841.68,16482.81,120420,120382.6,662104.3,-37.36,-0.57,0.02,136.9866667,-21.28,8.328571429,124.0352381
20,Kernza,Regenerative,Scotland,38020.96,28724.11,21309.52,15824.28,16466.48,120382.6,120345.3,661899.15,-37.27,-0.57,0.02,136.6566667,-21.28,8.328571429,123.7052381
3,Kernza,Organic,Scotland,35835.88,29572.27,21870.27,16180.49,16744.46,120475.9,120203.4,661118.7,-272.53,-0.55,0.18,999.2766667,-20.53333333,74.95714286,1053.700476
4,Kernza,Organic,Scotland,35739.76,29505.17,21825.97,16152.35,16723.03,120203.4,119946.3,659704.65,-257.09,-0.55,0.18,942.6633333,-20.53333333,74.95714286,997.0871429
5,Kernza,Organic,Scotland,35650.44,29438.98,21782.18,16124.25,16700.81,119946.3,119696.7,658331.85,-249.62,-0.55,0.18,915.2733333,-20.53333333,74.95714286,969.6971429
