"","year","crop","ppa","yield","fertilizer"
"1",1964,"Corn",58,62.9,"nitrogen"
"2",1964,"Corn",41,62.9,"phosphate"
"3",1964,"Corn",41,62.9,"potassium"
"4",1965,"Corn",75,74.1,"nitrogen"
"5",1965,"Corn",50,74.1,"phosphate"
"6",1965,"Corn",48,74.1,"potassium"
"7",1966,"Corn",86,73.1,"nitrogen"
"8",1966,"Corn",57,73.1,"phosphate"
"9",1966,"Corn",57,73.1,"potassium"
"10",1967,"Corn",93,80.1,"nitrogen"
"11",1967,"Corn",60,80.1,"phosphate"
"12",1967,"Corn",60,80.1,"potassium"
"13",1968,"Corn",104,79.5,"nitrogen"
"14",1968,"Corn",64,79.5,"phosphate"
"15",1968,"Corn",65,79.5,"potassium"
"16",1969,"Corn",110,85.9,"nitrogen"
"17",1969,"Corn",64,85.9,"phosphate"
"18",1969,"Corn",67,85.9,"potassium"
"19",1970,"Corn",112,72.4,"nitrogen"
"20",1970,"Corn",71,72.4,"phosphate"
"21",1970,"Corn",72,72.4,"potassium"
"22",1971,"Corn",107,88.1,"nitrogen"
"23",1971,"Corn",62,88.1,"phosphate"
"24",1971,"Corn",64,88.1,"potassium"
"25",1972,"Corn",115,97,"nitrogen"
"26",1972,"Corn",66,97,"phosphate"
"27",1972,"Corn",69,97,"potassium"
"28",1973,"Corn",114,91.3,"nitrogen"
"29",1973,"Corn",64,91.3,"phosphate"
"30",1973,"Corn",71,91.3,"potassium"
"31",1974,"Corn",103,71.9,"nitrogen"
"32",1974,"Corn",62,71.9,"phosphate"
"33",1974,"Corn",73,71.9,"potassium"
"34",1975,"Corn",105,86.4,"nitrogen"
"35",1975,"Corn",58,86.4,"phosphate"
"36",1975,"Corn",67,86.4,"potassium"
"37",1976,"Corn",127,88,"nitrogen"
"38",1976,"Corn",67,88,"phosphate"
"39",1976,"Corn",78,88,"potassium"
"40",1977,"Corn",128,90.8,"nitrogen"
"41",1977,"Corn",68,90.8,"phosphate"
"42",1977,"Corn",82,90.8,"potassium"
"43",1978,"Corn",126,101,"nitrogen"
"44",1978,"Corn",68,101,"phosphate"
"45",1978,"Corn",80,101,"potassium"
"46",1979,"Corn",135,109.5,"nitrogen"
"47",1979,"Corn",69,109.5,"phosphate"
"48",1979,"Corn",84,109.5,"potassium"
"49",1980,"Corn",130,91,"nitrogen"
"50",1980,"Corn",66,91,"phosphate"
"51",1980,"Corn",86,91,"potassium"
"52",1981,"Corn",137,108.9,"nitrogen"
"53",1981,"Corn",67,108.9,"phosphate"
"54",1981,"Corn",86,108.9,"potassium"
"55",1982,"Corn",135,113.2,"nitrogen"
"56",1982,"Corn",65,113.2,"phosphate"
"57",1982,"Corn",86,113.2,"potassium"
"58",1983,"Corn",137,81.1,"nitrogen"
"59",1983,"Corn",64,81.1,"phosphate"
"60",1983,"Corn",85,81.1,"potassium"
"61",1984,"Corn",138,106.7,"nitrogen"
"62",1984,"Corn",65,106.7,"phosphate"
"63",1984,"Corn",87,106.7,"potassium"
"64",1985,"Corn",140,118,"nitrogen"
"65",1985,"Corn",60,118,"phosphate"
"66",1985,"Corn",84,118,"potassium"
"67",1986,"Corn",132,119.4,"nitrogen"
"68",1986,"Corn",61,119.4,"phosphate"
"69",1986,"Corn",80,119.4,"potassium"
"70",1987,"Corn",132,119.8,"nitrogen"
"71",1987,"Corn",61,119.8,"phosphate"
"72",1987,"Corn",85,119.8,"potassium"
"73",1988,"Corn",137,84.6,"nitrogen"
"74",1988,"Corn",63,84.6,"phosphate"
"75",1988,"Corn",85,84.6,"potassium"
"76",1989,"Corn",131,116.3,"nitrogen"
"77",1989,"Corn",59,116.3,"phosphate"
"78",1989,"Corn",81,116.3,"potassium"
"79",1990,"Corn",132,118.5,"nitrogen"
"80",1990,"Corn",60,118.5,"phosphate"
"81",1990,"Corn",84,118.5,"potassium"
"82",1991,"Corn",128,108.6,"nitrogen"
"83",1991,"Corn",60,108.6,"phosphate"
"84",1991,"Corn",81,108.6,"potassium"
"85",1992,"Corn",127,131.5,"nitrogen"
"86",1992,"Corn",57,131.5,"phosphate"
"87",1992,"Corn",79,131.5,"potassium"
"88",1993,"Corn",123,100.7,"nitrogen"
"89",1993,"Corn",56,100.7,"phosphate"
"90",1993,"Corn",79,100.7,"potassium"
"91",1994,"Corn",129,138.6,"nitrogen"
"92",1994,"Corn",57,138.6,"phosphate"
"93",1994,"Corn",80,138.6,"potassium"
"94",1995,"Corn",130,113.5,"nitrogen"
"95",1995,"Corn",56,113.5,"phosphate"
"96",1995,"Corn",78,113.5,"potassium"
"97",1996,"Corn",133,127.1,"nitrogen"
"98",1996,"Corn",57,127.1,"phosphate"
"99",1996,"Corn",79,127.1,"potassium"
"100",1997,"Corn",130,126.7,"nitrogen"
"101",1997,"Corn",57,126.7,"phosphate"
"102",1997,"Corn",81,126.7,"potassium"
"103",1998,"Corn",133,134.4,"nitrogen"
"104",1998,"Corn",54,134.4,"phosphate"
"105",1998,"Corn",82,134.4,"potassium"
"106",1999,"Corn",133,133.8,"nitrogen"
"107",1999,"Corn",54,133.8,"phosphate"
"108",1999,"Corn",81,133.8,"potassium"
"109",2000,"Corn",136,136.9,"nitrogen"
"110",2000,"Corn",57,136.9,"phosphate"
"111",2000,"Corn",79,136.9,"potassium"
"112",2001,"Corn",127,138.2,"nitrogen"
"113",2001,"Corn",57,138.2,"phosphate"
"114",2001,"Corn",83,138.2,"potassium"
"115",2002,"Corn",137,129.3,"nitrogen"
"116",2002,"Corn",60,129.3,"phosphate"
"117",2002,"Corn",85,129.3,"potassium"
"118",2003,"Corn",136,142.2,"nitrogen"
"119",2003,"Corn",59,142.2,"phosphate"
"120",2003,"Corn",85,142.2,"potassium"
"121",2004,"Corn",NA,160.3,"nitrogen"
"122",2004,"Corn",NA,160.3,"phosphate"
"123",2004,"Corn",NA,160.3,"potassium"
"124",2005,"Corn",138,147.9,"nitrogen"
"125",2005,"Corn",58,147.9,"phosphate"
"126",2005,"Corn",84,147.9,"potassium"
"127",2006,"Corn",NA,149.1,"nitrogen"
"128",2006,"Corn",NA,149.1,"phosphate"
"129",2006,"Corn",NA,149.1,"potassium"
"130",2007,"Corn",NA,150.7,"nitrogen"
"131",2007,"Corn",NA,150.7,"phosphate"
"132",2007,"Corn",NA,150.7,"potassium"
"133",2008,"Corn",NA,153.3,"nitrogen"
"134",2008,"Corn",NA,153.3,"phosphate"
"135",2008,"Corn",NA,153.3,"potassium"
"136",2009,"Corn",NA,164.4,"nitrogen"
"137",2009,"Corn",NA,164.4,"phosphate"
