Year ,Crop,Practice,Country,CO2e,CH4_CO2e,N2O_CO2e,GWP,sum_gwp,avg_gwp,1_sum_gwp,1_avg_gwp,2_sum_gwp,2_avg_gwp,3_sum_gwp,3_avg_gwp,4_sum_gwp,4_avg_gwp,5_sum_gwp,5_avg_gwp,6_sum_gwp,6_avg_gwp,10_sum_gwp,10_avg_gwp,20_sum_gwp,20_avg_gwp,50_sum_gwp,50_avg_gwp
3,Cotton,Regenerative ,India,-2743.253333,-86.98666667,17406.71429,14576.47429,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
4,Cotton,Regenerative ,India,-901.67,-74.29333333,18468.60714,17492.64381,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
5,Cotton,Regenerative ,India,-955.0566667,-61.6,19338.94286,18322.28619,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
6,Cotton,Regenerative ,India,2621.886667,-48.90666667,22087.37143,24660.35143,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
7,Cotton,Regenerative ,India,-3486.303333,-37.70666667,14266.84286,10742.83286,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
8,Cotton,Regenerative ,India,-1433.226667,-36.21333333,15461.99286,13992.55286,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
9,Cotton,Regenerative ,India,-1107.81,-36.21333333,15815.95714,14671.93381,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
10,Cotton,Regenerative ,India,-841.72,-36.21333333,16244.87857,15366.94524,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
11,Cotton,Regenerative ,India,3006.446667,-36.21333333,20988,23958.23333,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
12,Cotton,Regenerative ,India,-3125.026667,-36.21333333,16053.32143,12892.08143,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
13,Cotton,Regenerative ,India,-755.0033333,-36.21333333,17310.93571,16519.71905,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
14,Cotton,Regenerative ,India,-470.25,-36.21333333,17614.92857,17108.46524,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
15,Cotton,Regenerative ,India,-170.17,-36.21333333,18002.20714,17795.82381,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
16,Cotton,Regenerative ,India,5614.363333,-36.21333333,19451.37857,25029.52857,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
17,Cotton,Regenerative ,India,5010.72,-36.21333333,24206.99286,29181.49952,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
18,Cotton,Regenerative ,India,-1848.33,-36.21333333,19239,17354.45667,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
19,Cotton,Regenerative ,India,83.52666667,-36.21333333,17956.4,18003.71333,327374.7453,18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
20,Cotton,Regenerative ,India,456.61,-36.21333333,19284.80714,19705.20381,"327,374.75",18187.486,328051.128,18225.063,328727.5107,18262.63949,329403.8935,18300.21631,330080.2762,18337.79312,330756.659,18375.36994,331433.0418,18412.94676,334138.5728,18563.25404,340902.4003,18939.02224,361193.8829,20066.32683
